,EUR,GBP,JPY,USD,USD_Return,USD_Volatility,GBP_Return,GBP_Volatility,EUR_Return,EUR_Volatility,JPY_Return,JPY_Volatility
2016-01-01,71.8627,97.6059,55.01,66.178,,,,,,,,
2016-01-02,71.8627,97.6059,55.01,66.178,0.0,,0.0,,0.0,,0.0,
2016-01-03,71.8627,97.6059,55.01,66.178,0.0,,0.0,,0.0,,0.0,
2016-01-04,72.3907,97.9455,55.65,66.4623,0.004295989603795958,,0.0034792978703130917,,0.007347344310748127,,0.011634248318487472,
2016-01-05,72.0315,97.9562,55.71,66.5418,0.0011961668494770983,,0.00010924442674742352,,-0.004961963346120424,,0.0010781671159030282,
2016-01-06,71.7002,97.773,56.19,66.7165,0.002625417406802999,,-0.0018702236305614406,,-0.004599376661599375,,0.008616047388260606,
2016-01-07,72.3782,97.8514,56.78,66.9115,0.002922815195641304,,0.0008018573634849258,,0.009456040568924573,,0.010500088983804945,
2016-01-08,72.5292,97.4501,56.32,66.669,-0.003624190161631513,,-0.004101116591075815,,0.002086263543442657,,-0.00810144417048253,
2016-01-09,72.5292,97.4501,56.32,66.669,0.0,,0.0,,0.0,,0.0,
2016-01-10,72.5292,97.4501,56.32,66.669,0.0,,0.0,,0.0,,0.0,
2016-01-11,72.9264,97.057,56.93,66.7885,0.0017924372646958009,,-0.004033859380339289,,0.0054764150162969205,,0.010830965909090828,
2016-01-12,72.7434,97.1518,56.91,66.8905,0.001527209025505849,,0.0009767456237055328,,-0.0025093793194235214,,-0.00035130862462684487,
2016-01-13,72.4272,96.603,56.57,66.8394,-0.000763935087942258,,-0.005648891734378547,,-0.004346786100182243,,-0.005974345457740227,
2016-01-14,72.9725,96.6369,57.01,67.095,0.003824091778202643,,0.0003509207788578994,,0.0075289394039808055,,0.007777974191267356,
2016-01-15,73.3868,97.1095,57.25,67.4325,0.005030181086519203,,0.004890471445172517,,0.0056774812429338795,,0.0042097877565339115,
2016-01-16,73.3868,97.1095,57.25,67.4325,0.0,,0.0,,0.0,,0.0,
